,Apogee_km,Perigee_km
0,110886.82475169105,25569.379474799498
1,325946.7627161853,4354.522353912596
2,161383.93543526338,24496.432144707782
3,124823.53616692625,17171.624504624546
4,115834.05705941955,16584.26857655467
5,155627.21041487556,3868.3940548944247
6,124637.79500568287,17566.092541714705
7,330794.74872247083,1394.2179929479803
8,149811.91952679117,4877.975959929201
9,41981.87883208246,35199.083914418334
10,117745.97346586737,17562.289988577315
11,129537.76795896883,9555.33875155745
12,103946.10736256898,6053.204770234572
13,40757.210485370844,37557.07976234727
14,321676.05189615674,3674.3242369817276
15,122612.39262275027,18531.743935044815
16,41648.40366175056,38507.32380492615
17,84480.2391654528,9816.297745614955
18,116900.24307107474,19308.178304915073
19,121587.39634947767,16916.362460733915
20,110628.00314947762,1906.0534653256154
21,42230.1359632069,36404.80561486714
22,87873.64155395598,-369.4520784943539
23,41308.38158895637,35680.8094235494
24,120547.75862356316,19244.927412779944
25,39981.61292229052,38548.24872983481
26,110135.83003817919,4378.062911109335
27,128926.53810065909,17478.874714780257
28,39277.27657349472,36326.35111525319
29,117690.43665068917,15897.426923728926
30,121691.68040649587,17429.41935509982
31,250903.58482400942,22985.47920377891
32,115042.17795918044,9791.831885020683
33,121684.4397838552,15462.805885431299
34,140379.12020224528,10277.841559901768
35,38815.44407879983,39558.779321637245
36,322125.6699719693,3345.5144389964985
37,38959.40204048321,40042.413266720345
38,124367.09974215266,16946.815415004447
39,42038.75880777937,35966.47965090676
40,83498.70531499783,2830.7287917751105
41,153689.50216411505,-422.9819521119871
42,197359.58181661484,41614.47916755762
43,191981.8639610813,55649.49461618631
44,145886.7960418331,7190.037905889905
45,151508.78428319562,358.11387509995416
46,163454.81481771506,-7896.634318054017
47,107662.32060022638,4162.08095427513
48,117101.05795922842,16072.859167825698
49,86197.99123850689,1685.8855572273324
50,332312.56740232627,3346.563273639917
51,122657.86713495909,18954.50143547939
52,141919.62075276923,8474.064896344875
53,82684.53372801201,1429.5753942127228
54,42294.11353819246,35675.58273263357
55,83930.65953839953,-1446.6875424358398
56,36653.2369871831,38336.19433370994
57,105992.01855569989,6183.881633319603
58,270613.07902554417,-13770.373439700445
59,114296.1724714543,18246.216013125097
60,85127.10556665291,-187.21261141859026
61,318164.47010042577,4616.075571654062
62,157560.60323634345,4806.4846945934505
63,41814.14674595892,36312.75851284442
64,38934.546177242155,39824.64217334455
65,41664.71144426592,37015.815066754265
66,138869.24822281746,12350.14717336078
67,40647.00892750273,36554.624239855904
68,38878.98890425364,38002.970368945294
69,40334.662839831966,37248.98024795436
70,97918.63970290127,24818.899507451337
71,322620.8060491881,3424.770284192786
72,205899.1742434456,21183.60414234647
73,42562.19789141926,36680.297647149586
74,125741.19592404076,18475.60638065332
75,136459.88445747356,10549.887097831803
76,112776.86403292671,6951.109106470873
77,41399.075876661154,35826.15342216717
78,104938.57744710054,5984.267618001692
79,150534.39700828964,6684.813891527236
80,41789.249620111026,37317.460996670074
81,83541.8570373758,3166.0545939530402
82,40491.66784891408,37169.63585967508
83,88442.68531004565,-183.38583031762738
84,109379.10032126654,15273.853222820564
85,233831.45612735575,40241.70437830454
86,43741.16336596569,37114.47526830737
87,43160.094114956104,34521.29222443155
88,154573.26464103916,911.7472964409401
89,117070.45082489518,16974.11501113767
90,110195.75759214161,4654.089860146123
91,206693.3049886307,39337.199522958
92,88933.039244362,2684.5575244629745
93,38777.51010475726,38859.14451977952
94,145993.7662207241,-3354.3869623232526
95,102441.33396063247,5520.36241649007
96,139095.88513449428,13037.35516291814
97,38433.372776689,37190.87216797802
98,38908.32434889849,38784.17229799826
99,39765.36541025918,37243.648161413366
