,Apogee_km,Perigee_km
0,-341.88476221239694,1092.4286820914747
1,-1522.3289262444737,59.08108387009975
2,1049.6064772571035,473.8453847901953
3,-911.4123647051938,680.7028804710577
4,-60.590756282131565,-1456.512666985769
5,1276.76387163535,4.328766665875719
6,-1163.84025942419,-420.1650844685407
7,1342.2838464483889,204.15445882244308
8,-1284.7145362372148,62.581068018456904
9,198.82803984147006,1461.798242068946
10,1159.642435428642,417.40105358170973
11,348.7671118485824,-1174.9083953197103
12,-1341.9366049944997,-173.90537475373128
13,504.06066449912373,1019.9661520938279
14,465.6875256604549,1089.3673804985158
15,903.4112768841421,643.0818758111304
16,-870.01695451506,623.8317586346743
17,1553.5869630212947,15.257526538607976
18,1187.0522910722852,349.5499838339667
19,644.3098257062375,768.5235801058031
20,-568.294833170577,-934.9446812142371
21,759.1020204082939,722.785238812935
22,-405.371240450806,1163.1641523675635
23,1002.9696851744094,495.9429892113341
24,324.99782449160193,-1229.6434772953166
25,5.602156870800968,-1536.0353149945295
26,164.6547993085369,1454.3694809439376
27,-411.11438480700394,1157.177096992374
28,1332.835020657919,-304.09597882596995
29,-764.5402674574802,718.7621627688992
30,-1180.1537575450288,-404.3985685626624
31,53.87260354932346,-1350.3562154436454
32,810.4405321133822,576.8653342785733
33,-428.0319891274653,-1114.5018333832054
34,-1548.0811217044798,68.75863806931329
35,535.7018862587123,-933.0510446949936
36,-180.68828055889367,1326.2689676209368
37,-1386.796137627051,110.6053155568577
38,-762.1362693391773,683.4688083158929
39,1128.8560037025172,391.7956516998924
40,1138.1354129100148,-393.79165927242707
41,-1658.2835911619031,-13.519191991398657
42,-1486.3785044915298,27.072197362911538
43,-864.1211940094468,658.0128955607324
44,-695.4033012363479,897.0355771425626
45,474.0198374079329,1067.5625381087816
46,182.18703452594866,1330.0337197338868
47,308.34843837974074,1240.047335797412
48,39.110859668716785,1497.1568890223396
49,671.6899465311456,856.7265588340152
50,670.9489288192598,-768.0518781355499
51,-601.218189180546,921.1190563238583
52,-71.03004167049676,1472.510117360874
53,-1084.6207436746488,-480.1244227367745
54,1486.230827027408,59.059598642883884
55,1405.2600587749635,130.70377482573792
56,-468.80884818402023,1004.9396369686679
57,408.21796890780826,1123.7775546346224
58,1378.8669083421992,131.83369610437455
59,272.38266437252764,1260.5330759357187
60,326.8179018453766,1216.2707833039349
61,1341.8586781590934,182.82961265866106
62,1055.2170320070018,-381.9808299891945
63,-874.6124958430787,676.6309526725234
64,843.0293854772682,676.1542340757262
65,-1062.3462733723738,470.1181183501335
66,539.1680044846314,953.5252265559166
67,-1470.7262405802667,-192.32788939486738
68,-219.20912409142807,-1305.4615999274642
69,1397.0114005257024,-137.83508639708054
70,-985.7298471145123,578.3840536239119
71,-829.678742528122,-718.3654905044548
72,1236.7321614332568,269.05982347403625
73,433.8238506575251,-1103.9079074340877
74,-633.2332820402944,925.383197370141
75,27.305404290972206,-1399.7573948525815
76,-980.7668650384157,-471.5691977799079
77,-154.55537083016418,1308.6554370756617
78,1436.064772816208,-94.35304520506133
79,-126.67480401785645,1420.8916378707136
80,-797.768019644164,719.2828303151807
81,-376.38201978113375,1136.6144468299867
82,-457.97233970549814,1174.2146301117343
83,769.2758796173854,-753.1463847517198
84,-185.45946718806817,1343.1435736717342
85,-1400.8282747696207,-151.21139957181322
86,775.1078056881336,-772.115357713478
87,1010.4663623955219,-585.9089806108736
88,-875.4702053111771,-679.4646691516052
89,-1300.4347816515033,226.386934251203
90,1601.4113583191026,-183.8445535262681
91,273.25233905436573,-1318.5528252848608
92,571.06879819006,1047.010943079037
93,754.3284775042649,-733.1139926966111
94,-1524.3418155814338,-61.06065182761324
95,-1315.0171662482849,-138.68838618743814
96,-152.62575329525578,1379.7349701341673
97,-623.6984617721473,812.1078959595961
98,299.61089200805304,-1220.9585741183607
99,-564.4631154434805,904.915577985411
